nom,canton,ville,annee_creation,effectif_estime,statut,cible,verticales,description_offre,degre_agenticite,stack_technique,modele_revenus,fourchette_prix,financement,clients_references,langues,hebergement_donnees,url,date_consultation,niveau_confiance
Unique AI AG,ZH,Zurich,2021,[EST] 165,startup,B2B,banque; gestion de fortune; asset management; assurance,"Plateforme d'agentic AI workforce pour la finance : agents IA (KYC, compliance, analyse d'investissement, préparation de meetings), workspace collaboratif avec chat, pipelines RAG sécurisés, hub MCP ; environ 25 cas d'usage agents pour le middle et back-office",agents autonomes multi-étapes,"MCP, orchestration d'agents propriétaire au-dessus de LLM (modèles non précisés publiquement)",abonnement,non disponible publiquement,"30 M USD Series A février 2025 (CommerzVentures, DN Capital, VI Partners, Pictet Group) ; total levé 53 M USD","Pictet, Julius Bär, BNP Paribas, Standard Chartered, Union Bancaire Privée, SIX Group, Helvetia, LGT, Partners Group",EN; FR,au choix du client,https://www.unique.ai/,2026-07-23,élevé
Typewise AG,ZH,Zurich,2020,nd,startup,B2B,service client; ventes; e-commerce; retail; logistique; énergie; tourisme,"AI Customer Service Agents résolvant des dossiers de bout en bout : agents multi-spécialistes (Support, Sales, Commerce), plateforme d'orchestration d'agents, SDK, automatisation de workflows en langage naturel, human-in-the-loop (approbations, simulations) ; alumni Y Combinator",agents autonomes multi-étapes,"Claude et ChatGPT comme LLM, MCP natif, 200+ intégrations CRM/ERP/ITSM, webhooks, REST API",à l'usage,à partir de 1 USD par résolution,environ 3 M USD levés (2 tours),"Galaxus, Brack.ch, Planzer, DPD, TUI Cruises, Iveco, Beurer, Mainova, Wincasa, Kelag, Polaris",EN (produit multilingue),"au choix du client (options de résidence des données, RGPD et EU AI Act)",https://www.typewise.app/,2026-07-23,élevé
DeepJudge AG,ZH,Zurich,2021,nd,startup,B2B,juridique,"Moteur de recherche d'entreprise IA pour cabinets d'avocats et directions juridiques : recherche multi-documents avec chat, suite d'agents et workflows multi-étapes (LLM-agnostic agentic reasoning), connexion aux dépôts documentaires sans déplacement des données, intégration Harvey ; spin-off ETH Zurich, croissance de revenus de +500 % revendiquée fin 2025",agents autonomes multi-étapes,"LLM-agnostique, MCP, moteur de recherche sémantique propriétaire",abonnement,non disponible publiquement,"41,2 M USD Series A novembre 2025 (Felicis, Coatue) ; total environ 52 M USD ; valorisation 300 M USD","Homburger, CMS Switzerland, Lenz & Staehelin, Freshfields, Holland & Knight, Cozen O'Connor, Gunderson Dettmer, ArentFox Schiff, Schoenherr",EN,non précisé (approche sans déplacement des données),https://www.deepjudge.ai/,2026-07-23,élevé
Squirro AG,ZH,Zurich,2012,nd,editeur,B2B,banque; assurance; industrie; gouvernement; santé; télécoms; private equity,"Plateforme d'enterprise GenAI : recherche sémantique d'entreprise, knowledge graphs, RAG, catalogue de 13 agents prêts à déployer (finance, RH, juridique, ventes, IT, R&D), AI guardrails, privacy layer ; croissance d'environ 60 % en 2024 ; acquisitions Synaptica (2024) et d'une plateforme IA américaine (2022) ; agents semi-autonomes avec revue humaine",workflow automatisé,"knowledge graphs propriétaires, RAG ; LLM non détaillés publiquement",licence,non disponible publiquement,"environ 29 M USD levés au total (Tracxn, dernier tour Series B) ; tour de 4 M USD en 2022","Henkel, Siemens, Banque centrale européenne, OCBC Bank, Candriam, Bertelsmann, ZwickRoell",EN,au choix du client (option on-premise),https://www.squirro.com/,2026-07-23,élevé
AlpineAI AG (SwissGPT),ZH,Zurich,2023,nd,startup,B2B,santé; administration publique; hautes écoles; industrie high-tech,"SwissGPT : plateforme d'IA souveraine type ChatGPT d'entreprise pour secteurs critiques et régulés ; assistants conversationnels, documentation automatisée (consultations patients, demandes citoyennes), agents SwissGPT prenant en charge des processus de bout en bout sur cas cadrés, plateforme API ; fondée à Davos (GR), active depuis Zurich ; co-fondateurs liés à ETH/UZH/ZHAW",workflow automatisé,"modèles open source multi-modèles, indépendance vis-à-vis des fournisseurs, serveurs en Suisse",abonnement,non disponible publiquement,"seed à deux chiffres en millions de CHF (avril 2026, Swiss KMU Partners lead), montant exact non divulgué","communes de Davos, Lucerne, St. Moritz, Glattfelden ; ZHAW, HIN, Clienia, Rheuma Schweiz",DE; EN; FR; IT,Suisse (centres de données certifiés ISO),https://www.alpineai.swiss/,2026-07-23,élevé
swiss moonshot AG (aiaibot),ZH,Dübendorf,2019,nd,editeur,B2B,assurance; banque; secteur public; santé; énergie; mobilité; industrie,"Plateforme Agentic AI sécurisée suisse : chatbots intelligents, automatisation de processus (e-mails, traitement de demandes), RAG, produit Agent Workspace ; rentable (break-even), plus d'un million de demandes clients traitées par an ; jusqu'à 95 % d'automatisation annoncée (chiffre promotionnel)",workflow automatisé,nd,abonnement,non disponible publiquement,"nd (rentable, break-even atteint)","plus de 200 clients dont Luzerner Kantonalbank, ERV, BLT, Stadtwerk Winterthur, Swiss Medical Network, Ville de Berne, Beobachter",DE; EN,"non précisé (plateforme suisse, conformité RGPD/nLPD)",https://www.aiaibot.com/de/,2026-07-23,élevé
Enterprise Bot GmbH,ZH,Zurich,2017,nd,editeur,B2B,voyage; retail; assurance; finance; santé; ITSM/RH; gestion des connaissances,"Suite d'automatisation conversationnelle : Agentic AI (automatisation de bout en bout sans transfert humain), chatbot AIDA, voicebot AIVA, email bot ERA, Agent Assist ; bureaux additionnels en Inde, au Royaume-Uni et aux États-Unis",agents autonomes multi-étapes,nd,abonnement,non disponible publiquement,nd,"Generali Switzerland, SWICA, SIX, Kantonsspital Winterthur, Yuh, RMV, Callpoint, Transpennine Express, Comboios de Portugal",EN; DE,non précisé,https://www.enterprisebot.ai/,2026-07-23,élevé
Spitch AG,ZH,Zurich,2014,nd,editeur,B2B,banque; assurance; santé; secteur public; utilities; retail,"Plateforme conversationnelle omnicanale : agents vocaux virtuels, chatbots, speech analytics, biométrie vocale, Knowledge Agent, Agent Assist, Quality Management ; reconnaissance du suisse allemand ; bureaux à Milan, Londres, Madrid, Wilmington",workflow automatisé,"intégrations Genesys, Microsoft Teams, Zendesk, Salesforce, AWS, Azure, Google Cloud, OpenAI, Twilio",licence,non disponible publiquement,nd,"Baloise, DSK Bank (études de cas)",EN; DE; IT; FR (suisse allemand),au choix du client (cloud ou on-premise),https://spitch.ai/,2026-07-23,élevé
Parashift AG,BL,Sissach,2018,51-200,editeur,B2B,banque; assurance; santé; logistique,"Traitement intelligent de documents (IDP) par Vision Language Models : dark processing (plus de 90 % sans intervention), modèles propriétaires Parashift Document VLM (7B) et Swarm Learning, option BYOM avec guardrails, routage humain des cas sous seuil de confiance",workflow automatisé,"VLM propriétaire 7B, Swarm Learning, API",à l'usage,non disponible publiquement,nd,"Raiffeisen, AXA, LLB, Swica, BDO, Swisscom, Deutsche Bahn, Mercedes-Benz, BMW, Caterpillar, Glencore, Sana Kliniken",DE; EN,"UE (infrastructure 100 % EU-native, option on-premise/air-gapped)",https://parashift.ai/de/,2026-07-23,élevé
Evoya AI,ZH,Uster,nd,nd,editeur,B2B,PME généralistes; éducation; santé; administration,"Plateforme IA tout-en-un pour PME : EvoChat (workspace IA), EvoBot (chatbots web), EvoSearch (recherche sémantique/RAG), EvoKonversa (transcription), agents IA avec Skills, accès à 30+ modèles ; services d'agence pour applications IA sur mesure",workflow automatisé,"multi-modèles : OpenAI (ChatGPT), Anthropic (Claude), Perplexity, modèles suisses",abonnement; freemium,Free 0 CHF ; Professional 29 CHF/mois/utilisateur ; Bot Start 79 CHF/mois ; Bot Business 199 CHF/mois ; Bot Unlimited 699 CHF/mois ; Enterprise sur devis,nd,partenariat avec l'agence insign,DE; EN,"Suisse (Swiss Mode : serveurs certifiés ISO, sans cloud américain)",https://evoya.ai/,2026-07-23,élevé
